code,title,description,skills,tasks
11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""monitoring"", ""instructing"", ""time management""]","[""design or use assessments to monitor student learning outcomes.""]"
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""complex problem solving""]","[""manage the coordination and overall integration of technical activities in architecture or engineering projects."", ""direct, review, or approve project design changes.""]"
11-9071.00,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.","[""critical thinking"", ""management of personnel resources""]","[""resolve customer complaints regarding problems, such as payout errors."", ""remove suspected cheaters, such as card counters or other players who may have systems that shift the odds of winning to their favor."", ""track supplies of money to tables and perform any required paperwork."", ""explain and interpret house rules, such as game rules or betting limits."", ""prepare work schedules and station arrangements and keep attendance records."", ""monitor staffing levels to ensure that games and tables are adequately staffed for each shift, arranging for staff rotations and breaks and locating substitute employees as necessary."", ""maintain familiarity with all games used at a facility, as well as strategies or tricks employed in those games."", ""train new workers or evaluate their performance."", ""market or promote the casino to bring in business."", ""interview and hire workers."", ""direct the distribution of complimentary hotel rooms, meals, or other discounts or free items given to players, based on their length of play and betting totals."", ""establish policies on issues, such as the type of gambling offered and the odds, the extension of credit, or the serving of food and beverages.""]"
11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.","[""active listening"", ""speaking"", ""social perceptiveness"", ""service orientation"", ""management of personnel resources""]","[""answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints."", ""participate in financial activities, such as the setting of room rates, the establishment of budgets, and the allocation of funds to departments."", ""confer and cooperate with other managers to ensure coordination of hotel activities."", ""greet and register guests."", ""monitor the revenue activity of the hotel or facility."", ""manage and maintain temporary or permanent lodging facilities."", ""train staff members."", ""observe and monitor staff performance to ensure efficient operations and adherence to facility's policies and procedures."", ""coordinate front-office activities of hotels or motels, and resolve problems."", ""inspect guest rooms, public areas, and grounds for cleanliness and appearance."", ""assign duties to workers, and schedule shifts."", ""receive and process advance registration payments, mail letters of confirmation, or return checks when registrations cannot be accepted."", ""interview and hire applicants."", ""purchase supplies, and arrange for outside services, such as deliveries, laundry, maintenance and repair, and trash collection."", ""collect payments and record data pertaining to funds and expenditures."", ""develop and implement policies and procedures for the operation of a department or establishment."", ""prepare required paperwork pertaining to departmental functions.""]"
11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""monitoring"", ""social perceptiveness"", ""complex problem solving"", ""judgment and decision making"", ""time management"", ""management of personnel resources""]","[""direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel."", ""develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports."", ""plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff."", ""conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting."", ""maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options."", ""establish work schedules and assignments for staff, according to workload, space, and equipment availability."", ""monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services."", ""direct or conduct recruitment, hiring, and training of personnel."", ""manage change in integrated health care delivery systems, such as work restructuring, technological innovations, and shifts in the focus of care."", ""maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning.""]"
11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.","[""reading comprehension"", ""active listening"", ""science"", ""critical thinking"", ""monitoring""]","[""hire, supervise, or evaluate engineers, technicians, researchers, or other staff."", ""design or coordinate successive phases of problem analysis, solution proposals, or testing."", ""plan or direct research, development, or production activities."", ""review project activities and prepare and review research, testing, or operational reports."", ""confer with scientists, engineers, regulators, or others to plan or review projects or to provide technical assistance.""]"
11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.","[""reading comprehension"", ""active listening"", ""writing""]","[""schedule subjects for appointments, procedures, or inpatient stays as required by study protocols."", ""perform specific protocol procedures such as interviewing subjects, taking vital signs, and performing electrocardiograms."", ""assess eligibility of potential subjects through methods such as screening interviews, reviews of medical records, or discussions with physicians and nurses."", ""prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports."", ""inform patients or caregivers about study aspects and outcomes to be expected."", ""record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies."", ""monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices."", ""oversee subject enrollment to ensure that informed consent is properly obtained and documented."", ""maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms."", ""identify protocol problems, inform investigators of problems, or assist in problem resolution efforts, such as protocol revisions."", ""review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks."", ""collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions."", ""track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts."", ""code, evaluate, or interpret collected study data."", ""direct the requisition, collection, labeling, storage, or shipment of specimens."", ""instruct research staff in scientific and procedural aspects of studies including standards of care, informed consent procedures, or documentation procedures.""]"
11-9121.02,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking""]","[""perform hydrologic, hydraulic, or water quality modeling."", ""analyze storm water systems to identify opportunities for water resource improvements.""]"
11-9131.00,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.","[""reading comprehension"", ""active listening"", ""speaking"", ""social perceptiveness"", ""coordination"", ""time management""]","[""monitor employees' work schedules and attendance for payroll purposes."", ""organize and supervise activities, such as the processing of incoming and outgoing mail."", ""resolve customer complaints."", ""prepare employee work schedules."", ""direct and coordinate operational, management, and supportive services of one or a number of postal facilities."", ""hire and train employees, and evaluate their performance."", ""prepare and submit detailed and summary reports of post office activities to designated supervisors.""]"
11-9141.00,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).","[""speaking""]","[""prepare detailed budgets and financial reports for properties."", ""manage and oversee operations, maintenance, administration, and improvement of commercial, industrial, or residential properties."", ""plan, schedule, and coordinate general maintenance, major repairs, and remodeling or construction projects for commercial or residential properties."", ""direct collection of monthly assessments, rental fees, and deposits and payment of insurance premiums, mortgage, taxes, and incurred operating expenses."", ""meet with clients to negotiate management and service contracts, determine priorities, and discuss the financial and operational status of properties."", ""direct and coordinate the activities of staff and contract personnel and evaluate their performance."", ""prepare and administer contracts for provision of property services, such as cleaning, maintenance, and security services."", ""market vacant space to prospective tenants through leasing agents, advertising, or other methods."", ""act as liaisons between on-site managers or tenants and owners."", ""investigate complaints, disturbances, and violations and resolve problems, following management rules and regulations."", ""inspect grounds, facilities, and equipment routinely to determine necessity of repairs or maintenance.""]"
11-9151.00,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.","[""social perceptiveness"", ""service orientation""]","[""establish and oversee administrative procedures to meet objectives set by boards of directors or senior management."", ""direct activities of professional and technical staff members and volunteers."", ""evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively."", ""participate in the determination of organizational policies regarding such issues as participant eligibility, program requirements, and program benefits."", ""prepare and maintain records and reports, such as budgets, personnel records, or training manuals."", ""provide direct service and support to individuals or clients, such as handling a referral for child advocacy issues, conducting a needs evaluation, or resolving complaints."", ""establish and maintain relationships with other agencies and organizations in community to meet community needs and to ensure that services are not duplicated.""]"
11-9161.00,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.","[""reading comprehension"", ""active listening"", ""writing"", ""speaking"", ""critical thinking"", ""monitoring"", ""social perceptiveness"", ""coordination"", ""service orientation"", ""complex problem solving"", ""judgment and decision making""]","[""consult with officials of local and area governments, schools, hospitals, and other institutions to determine their needs and capabilities in the event of a natural disaster or other emergency."", ""develop and maintain liaisons with municipalities, county departments, and similar entities to facilitate plan development, response effort coordination, and exchanges of personnel and equipment."", ""coordinate disaster response or crisis management activities, such as ordering evacuations, opening public shelters, and implementing special needs plans and programs."", ""prepare emergency situation status reports that describe response and recovery efforts, needs, and preliminary damage assessments."", ""maintain and update all resource materials associated with emergency preparedness plans."", ""prepare plans that outline operating procedures to be used in response to disasters or emergencies, such as hurricanes, nuclear accidents, and terrorist attacks, and in recovery from these events."", ""develop and perform tests and evaluations of emergency management plans in accordance with state and federal regulations."", ""collaborate with other officials to prepare and analyze damage assessments following disasters or emergencies."", ""design and administer emergency or disaster preparedness training courses that teach people how to effectively respond to major emergencies and disasters."", ""keep informed of activities or changes that could affect the likelihood of an emergency, response efforts, or plan implementation."", ""inspect facilities and equipment, such as emergency management centers and communications equipment, to determine their operational and functional capabilities in emergency situations."", ""review emergency plans of individual organizations, such as medical facilities, to ensure their adequacy."", ""keep informed of federal, state, and local regulations affecting emergency plans, and ensure that plans adhere to those regulations.""]"
